ID: 1 , GradeLevel: 1 , EmailAddress: evelynt+student+academy@chalk.com , GuardianEmail1: evelynt+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Evelyn , LastName: Torgenson , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 2 , GradeLevel: 1 , EmailAddress: josephs+student+academy@chalk.com , GuardianEmail1: josephs+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Joseph , LastName: Sturdevant , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 3 , GradeLevel: 1 , EmailAddress: scottyb+student+academy@chalk.com , GuardianEmail1: scottyb+guardian+academy@chalk.com , GuardianEmail2: nickyb+guardian+academy@chalk.com , FirstName: Scotty , LastName: Busch , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 4 , GradeLevel: 1 , EmailAddress: nickyb+student+academy@chalk.com , GuardianEmail1: nickyb+guardian+academy@chalk.com , GuardianEmail2: scottyb+guardian+academy@chalk.com , FirstName: Nicky , LastName: Busch , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 5 , GradeLevel: 1 , EmailAddress: hilmah+student+academy@chalk.com , GuardianEmail1: hilmah+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Hilma , LastName: Habbard , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 6 , GradeLevel: 2 , EmailAddress: avisf+student+academy@chalk.com , GuardianEmail1: avisf+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Avis , LastName: Faulcon , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 7 , GradeLevel: 2 , EmailAddress: marybethb+student+academy@chalk.com , GuardianEmail1: null , GuardianEmail2: null , FirstName: Marybeth , LastName: Bolduc , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 8 , GradeLevel: 2 , EmailAddress: scarleta+student+academy@chalk.com , GuardianEmail1: scarleta+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Scarlet , LastName: Alt , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 9 , GradeLevel: 2 , EmailAddress: rhebal+student+academy@chalk.com , GuardianEmail1: null , GuardianEmail2: null , FirstName: Rheba , LastName: Loftin , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 10 , GradeLevel: 2 , EmailAddress: marvela+student+academy@chalk.com , GuardianEmail1: null , GuardianEmail2: null , FirstName: Marvel , LastName: Alexander , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 11 , GradeLevel: 2 , EmailAddress: terrir+student+academy@chalk.com , GuardianEmail1: terrir+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Terri , LastName: Robeson , IsArchived: null , IsDeleted: null , Role: JUNIOR_STUDENT
ID: 12 , GradeLevel: 3 , EmailAddress: tituss+student+academy@chalk.com , GuardianEmail1: tituss+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Titus , LastName: Seese , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 13 , GradeLevel: 3 , EmailAddress: dionneh+student+academy@chalk.com , GuardianEmail1: dionneh+guardian+academy@chalk.com , GuardianEmail2: dionneh2+guardian+academy@chalk.com , FirstName: Dionne , LastName: Heron , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 14 , GradeLevel: 3 , EmailAddress: tannaw+student+academy@chalk.com , GuardianEmail1: tannaw+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Tanna , LastName: Weisberg , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 15 , GradeLevel: 3 , EmailAddress: ethelk+student+academy@chalk.com , GuardianEmail1: null , GuardianEmail2: null , FirstName: Ethel , LastName: Kleckner , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 16 , GradeLevel: 3 , EmailAddress: lorenzaw+student+academy@chalk.com , GuardianEmail1: lorenzaw+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Lorenza , LastName: Waggener , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 17 , GradeLevel: 4 , EmailAddress: nannies+student+academy@chalk.com , GuardianEmail1: nannies+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Nannie , LastName: Stupka , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 18 , GradeLevel: 4 , EmailAddress: emiler+student+academy@chalk.com , GuardianEmail1: null , GuardianEmail2: null , FirstName: Emile , LastName: Rincon , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 19 , GradeLevel: 4 , EmailAddress: zeneidah+student+academy@chalk.com , GuardianEmail1: zeneidah+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Zeneida , LastName: Hotard , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
ID: 20 , GradeLevel: 4 , EmailAddress: lenoras+student+academy@chalk.com , GuardianEmail1: lenoras+guardian+academy@chalk.com , GuardianEmail2: null , FirstName: Lenora , LastName: Speights , IsArchived: null , IsDeleted: null , Role: SENIOR_STUDENT
